lastname,filer_committee_id_number,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Biden,C00703975,29401,26585,CHARLESTON,SC,CHARLESTON,45,019,32.777596,-79.941923,45019,3970,1009958,254397.48110831235,263
Biden,C00703975,89135,21250,LAS VEGAS,NV,CLARK,32,003,36.12114,-115.350771,32003,14050,2662112,189474.16370106762,488
Biden,C00703975,29482,20056.239999999998,SULLIVANS ISLAND,SC,CHARLESTON,45,019,32.76455,-79.839568,45019,1030,353763,343459.22330097086,126
Biden,C00703975,29464,18351,MOUNT PLEASANT,SC,CHARLESTON,45,019,32.821494,-79.852362,45019,25160,2881334,114520.4292527822,1576
Biden,C00703975,89109,18159,LAS VEGAS,NV,CLARK,32,003,36.122508,-115.158589,32003,3570,693807,194343.6974789916,459
Biden,C00703975,89117,18118,LAS VEGAS,NV,CLARK,32,003,36.142384,-115.279341,32003,27990,2242508,80118.18506609504,3945
Biden,C00703975,89144,16500,LAS VEGAS,NV,CLARK,32,003,36.177022,-115.314718,32003,8860,1150277,129828.10383747179,1187
Biden,C00703975,29455,12450,JOHNS ISLAND,SC,CHARLESTON,45,019,32.718663,-80.098045,45019,11760,1281149,108941.24149659864,1782
Biden,C00703975,89128,11505,LAS VEGAS,NV,CLARK,32,003,36.197963,-115.265816,32003,17690,954052,53931.71283210854,12465
Biden,C00703975,89107,11230,LAS VEGAS,NV,CLARK,32,003,36.170153,-115.208648,32003,17180,917078,53380.55878928987,12872
Buttigieg,C00697441,03755,8930.36,HANOVER,NH,GRAFTON,33,009,43.716069,-72.197482,33009,3590,823331,229340.1114206128,328
Buttigieg,C00697441,29455,5597.49,JOHNS ISLAND,SC,CHARLESTON,45,019,32.718663,-80.098045,45019,11760,1281149,108941.24149659864,1782
Buttigieg,C00697441,52240,4635.48,IOWA CITY,IA,JOHNSON,19,103,41.642647,-91.541636,19103,14180,866830,61130.46544428773,8487
Buttigieg,C00697441,52245,4197.94,IOWA CITY,IA,JOHNSON,19,103,41.669005,-91.513853,19103,9510,787321,82788.74868559411,3628
Buttigieg,C00697441,03854,3719,NEW CASTLE,NH,ROCKINGHAM,33,015,43.064182,-70.722702,33015,580,162577,280305.1724137931,209
Buttigieg,C00697441,89135,3136,LAS VEGAS,NV,CLARK,32,003,36.12114,-115.350771,32003,14050,2662112,189474.16370106762,488
Buttigieg,C00697441,29801,3000,AIKEN,SC,AIKEN,45,003,33.601929,-81.661132,45003,10810,549200,50804.81036077706,14926
Buttigieg,C00697441,03782,2850,SUNAPEE,NH,SULLIVAN,33,019,43.384718,-72.087607,33019,1510,230343,152545.03311258278,804
Buttigieg,C00697441,03036,2813.1,CHESTER,NH,ROCKINGHAM,33,015,42.970678,-71.239531,33015,2610,229579,87961.30268199234,3067
Buttigieg,C00697441,03253,2800,MEREDITH,NH,BELKNAP,33,001,43.6177,-71.478163,33001,3540,274203,77458.47457627118,4304
Harris,C00694455,29042,5600,DENMARK,SC,BAMBERG,45,009,33.319175,-81.14625,45009,1720,56835,33043.60465116279,28277
Harris,C00694455,89113,3087.84,LAS VEGAS,NV,CLARK,32,003,36.060082,-115.26444,32003,15650,1243732,79471.69329073482,4040
Harris,C00694455,29016,2900,BLYTHEWOOD,SC,RICHLAND,45,079,34.197222,-80.995601,45079,10460,816080,78019.120458891,4240
Harris,C00694455,29455,2800,JOHNS ISLAND,SC,CHARLESTON,45,019,32.718663,-80.098045,45019,11760,1281149,108941.24149659864,1782
Harris,C00694455,29502,2800,FLORENCE,SC,FLORENCE,45,041,34.1954,-79.7629,45041,NA,NA,NA,NA
Harris,C00694455,89074,2300,HENDERSON,NV,CLARK,32,003,36.031252,-115.073868,32003,25130,1831873,72895.86152009551,5096
Harris,C00694455,03801,2000,PORTSMOUTH,NH,ROCKINGHAM,33,015,43.067485,-70.799837,33015,12560,1268015,100956.60828025479,2185
Harris,C00694455,29710,2000,CLOVER,SC,YORK,45,091,35.073764,-81.204998,45091,15830,1170672,73952.7479469362,4913
Harris,C00694455,52246,1977.77,IOWA CITY,IA,JOHNSON,19,103,41.651269,-91.609741,19103,9620,734408,76341.78794178794,4491
Harris,C00694455,29464,1880,MOUNT PLEASANT,SC,CHARLESTON,45,019,32.821494,-79.852362,45019,25160,2881334,114520.4292527822,1576
Sanders,C00696948,03820,6117.5,DOVER,NH,STRAFFORD,33,017,43.187031,-70.89452,33017,16750,1118928,66801.67164179105,6568
Sanders,C00696948,89052,4867.4,HENDERSON,NV,CLARK,32,003,35.981602,-115.113204,32003,26150,3215600,122967.49521988528,1341
Sanders,C00696948,52246,4839.99,IOWA CITY,IA,JOHNSON,19,103,41.651269,-91.609741,19103,9620,734408,76341.78794178794,4491
Sanders,C00696948,52403,4544.56,CEDAR RAPIDS,IA,LINN,19,113,41.973311,-91.576922,19113,11080,896289,80892.50902527076,3843
Sanders,C00696948,03301,4314.5,CONCORD,NH,MERRIMACK,33,013,43.230539,-71.547977,33013,16140,1030000,63816.60470879802,7448
Sanders,C00696948,89509,4211.74,RENO,NV,WASHOE,32,031,39.497002,-119.828246,32031,17760,1583228,89145.72072072072,2969
Sanders,C00696948,89178,3762,LAS VEGAS,NV,CLARK,32,003,36.026015,-115.280108,32003,17210,1125436,65394.305636257996,6973
Sanders,C00696948,89149,3564.41,LAS VEGAS,NV,CLARK,32,003,36.27865,-115.286877,32003,17960,1441857,80281.57015590201,3925
Sanders,C00696948,89147,3473.74,LAS VEGAS,NV,CLARK,32,003,36.11208,-115.279047,32003,26570,1323449,49809.89838163342,15755
Sanders,C00696948,52240,3379.49,IOWA CITY,IA,JOHNSON,19,103,41.642647,-91.541636,19103,14180,866830,61130.46544428773,8487
Warren,C00693234,03755,4898,HANOVER,NH,GRAFTON,33,009,43.716069,-72.197482,33009,3590,823331,229340.1114206128,328
Warren,C00693234,29455,4450,JOHNS ISLAND,SC,CHARLESTON,45,019,32.718663,-80.098045,45019,11760,1281149,108941.24149659864,1782
Warren,C00693234,29588,4200,MYRTLE BEACH,SC,HORRY,45,051,33.677688,-79.028938,45051,21520,941876,43767.47211895911,21407
Warren,C00693234,89052,3847.2,HENDERSON,NV,CLARK,32,003,35.981602,-115.113204,32003,26150,3215600,122967.49521988528,1341
Warren,C00693234,89135,3384.19,LAS VEGAS,NV,CLARK,32,003,36.12114,-115.350771,32003,14050,2662112,189474.16370106762,488
Warren,C00693234,03301,3274.58,CONCORD,NH,MERRIMACK,33,013,43.230539,-71.547977,33013,16140,1030000,63816.60470879802,7448
Warren,C00693234,52245,2988.77,IOWA CITY,IA,JOHNSON,19,103,41.669005,-91.513853,19103,9510,787321,82788.74868559411,3628
Warren,C00693234,03229,2600,CONTOOCOOK,NH,MERRIMACK,33,013,43.199734,-71.691493,33013,2990,329265,110122.07357859531,1727
Warren,C00693234,29909,2488,OKATIE,SC,BEAUFORT,45,013,32.327675,-80.893306,45013,10570,960905,90908.70387890255,2838
Warren,C00693234,03833,2372.42,EXETER,NH,ROCKINGHAM,33,015,42.961445,-70.987972,33015,11560,1105129,95599.39446366782,2512
