lastname,state,sum_amt
Booker,NJ,1324089.01
Booker,NY,1174992.61
Booker,CA,859071.76
Booker,FL,94323.25
Booker,PA,89566.93
Booker,IL,82331.12
Booker,CT,77693
Booker,TX,52632.58
Booker,MA,48961.68
Booker,MD,38490
Buttigieg,CA,520816.63
Buttigieg,NY,397079.82
Buttigieg,IN,276144.7
Buttigieg,IL,179147.43
Buttigieg,DC,112267.26
Buttigieg,WA,111819.79
Buttigieg,TX,97291.28
Buttigieg,FL,94219.25
Buttigieg,MA,82049
Buttigieg,VA,62618.24
Castro,TX,557524.79
Castro,CA,181835.39
Castro,NY,42617.99
Castro,DC,17944.44
Castro,IL,12729.9
Castro,FL,11406.74
Castro,MA,10910.49
Castro,MD,10709.75
Castro,CO,9900
Castro,VA,8815.8
Delaney,MD,482292.55
Delaney,DC,355829.55
Delaney,CA,136358.9
Delaney,NY,105875
Delaney,VA,97673.4
Delaney,NC,39825
Delaney,CT,36450
Delaney,NJ,30800
Delaney,ID,26493.2
Delaney,IL,22401
Gabbard,CA,316892.72
Gabbard,TX,80009.90000000001
Gabbard,NJ,56675.94
Gabbard,HI,55380.71
Gabbard,IL,52244.91
Gabbard,PA,46665.92
Gabbard,MA,42818.71
Gabbard,FL,40439.87
Gabbard,NY,25605.88
Gabbard,WA,21069.97
Gillibrand,NY,1281823.93
Gillibrand,CA,448270.53
Gillibrand,TX,126084.93
Gillibrand,MA,118628.49
Gillibrand,DC,95292.3
Gillibrand,IL,69275.96
Gillibrand,CT,55596.95
Gillibrand,NJ,43308.5
Gillibrand,CO,42779
Gillibrand,FL,37361
Harris,CA,4280796.04
Harris,NY,898368.32
Harris,FL,316781.52
Harris,DC,272576.27
Harris,GA,203178.58
Harris,MA,194254.36
Harris,TX,187916.05
Harris,MD,141787.38
Harris,VA,96700.63
Harris,IL,95324.85
Hickenlooper,CO,1085225.54
Hickenlooper,NY,156760
Hickenlooper,CA,133166
Hickenlooper,TX,70721.38
Hickenlooper,IL,43532.98
Hickenlooper,MA,39903.75
Hickenlooper,AR,39450
Hickenlooper,DC,28671.28
Hickenlooper,CT,26457.5
Hickenlooper,VA,25350
Inslee,WA,988873.15
Inslee,CA,107176.1
Inslee,NY,91166.91
Inslee,DC,48450
Inslee,CO,22770.2
Inslee,PA,22610
Inslee,FL,19025
Inslee,IL,16750
Inslee,OR,16655
Inslee,MD,16400
Klobuchar,MN,1183694.43
Klobuchar,NY,486657.11
Klobuchar,CA,483187.6
Klobuchar,IL,196293.47
Klobuchar,FL,127378.6
Klobuchar,TX,107556.43
Klobuchar,NJ,85898.98
Klobuchar,GA,81779.68
Klobuchar,MD,71024.94
Klobuchar,DC,67494.88
Messam,FL,27985
Messam,CA,2200
Messam,AZ,550
Messam,OH,500
Messam,TX,475
Messam,GA,250
O'Rourke,TX,2136992.94
O'Rourke,CA,383681.96
O'Rourke,NY,317814.83
O'Rourke,MA,80287.37
O'Rourke,IL,69788.09
O'Rourke,CO,66076.33
O'Rourke,WA,61865.33
O'Rourke,FL,60697.38
O'Rourke,DC,59480.6
O'Rourke,MD,53764.19
Ryan,OH,266373.82
Ryan,CA,68242.55
Ryan,NY,57828.8
Ryan,FL,52225
Ryan,CT,29117.15
Ryan,PA,22535
Ryan,VA,12561.15
Ryan,NJ,12135
Ryan,DC,10150
Ryan,MA,8708
Sanders,CA,779425.45
Sanders,NY,292655.94
Sanders,WA,170667.63
Sanders,MA,148887.29
Sanders,IL,117486.88
Sanders,TX,102695.8
Sanders,FL,91880.93
Sanders,OR,73856.91
Sanders,MI,69961.65
Sanders,PA,69399.06
Trump,TX,5224690.09
Trump,CA,4902409.34
Trump,FL,4892153.79
Trump,NY,2309122.08
Trump,OH,1393889.45
Trump,NC,1368576.74
Trump,GA,1119946.51
Trump,PA,1055613.63
Trump,AZ,1029697.32
Trump,NJ,955684.54
Warren,MA,430685.15
Warren,CA,391414.85
Warren,NY,225179.34
Warren,WA,75364.19
Warren,TX,58701.18
Warren,IL,44687.9
Warren,PA,42394.31
Warren,VA,38469.28
Warren,MD,37197.27
Warren,OR,35519.89
Williamson,CA,217287.06
Williamson,NY,70533.7
Williamson,NA,35368.53
Williamson,FL,28258.08
Williamson,MA,19094.68
Williamson,MI,19003.43
Williamson,CO,18900.77
Williamson,TX,18811.65
Williamson,OR,15980.79
Williamson,AZ,13325
Yang,NY,255421.6
Yang,CA,234261.45
Yang,NJ,31797.4
Yang,CT,31478.36
Yang,NA,24066.96
Yang,MA,22295.73
Yang,WA,19118.95
Yang,IL,18946.01
Yang,FL,17933.59
Yang,TX,17916.51
